"Pick","Team","Player","College","Season"
"122","SEA","Earl Banks","Auburn University",1981
"123","SDC","Mike Pepper","University of North Carolina",1981
"124","DEN","Alonzo Weatherley","University of Denver",1981
"125","WSB","Robert Williams","Grambling State University",1981
"126","GSW","Carter Scott","Ohio State University",1981
"127","HOU","Fred Cowan","University of Kentucky",1981
"128","KCK","Brian Walker","Purdue University",1981
"129","IND","Robert Fronk","University of Washington",1981
"130","CHI","Roger Burkman","University of Louisville",1981
"131","POR","Roshern Arnie","University of Texas at El Paso",1981
"132","NYK","John Blair","Monmouth University",1981
"133","SAS","Norman Shavers","Jackson State University",1981
"134","LAL","Kevin Singleton","University of California",1981
"135","PHO","Pete Harris","Northeastern University",1981
"136","MIL","Jo Jo Hunter","University of Colorado",1981
"137","BOS","Steve Waite","University of Iowa",1981
"138","PHI","Michael Thomas","North Park University",1981
"139","DAL","Danny Davis","University of North Carolina at Wilmington",1981
"140","DET","Greg Nance","West Virginia University",1981
"141","NJN","Rod Robertson","Northwestern University",1981
"142","CLE","Andre Smith","University of Nebraska",1981
"143","UTA","Mike Robinson","Central Michigan University",1981
"144","ATL","Kevin Vesey","Iona College",1981
"145","SEA","Tom Sienkiewicz","Villanova University",1981
"146","SDC","Randy Johnson","University of Southern Colorado",1981
"147","DEN","Greg Manning","University of Maryland",1981
"148","GSW","Robby Dosty","University of Arizona",1981
"149","WSB","Randy Martel","Houston Baptist University",1981
"150","KCK","Clinton Wheeler","William Paterson University",1981
"151","HOU","Joe Faine","Bowling Green State University",1981
"152","IND","Larry McKinney","Boise State University",1981
"153","POR","Julius Wayne","University of Texas at El Paso",1981
"154","CHI","Scott Williams","University of South Alabama",1981
"155","NYK","Terry Cramer","Ripon College",1981
"156","SAS","Mark Minderman","Northern Michigan University",1981
"157","LAL","Larry Petty","University of Wisconsin",1981
"158","PHO","David Williams","Southern University and A&M College",1981
"159","MIL","Lewis Latimore","University of Virginia",1981
"160","PHI","John Crawford","University of Kansas",1981
"161","BOS","Tom Seaman","College of the Holy Cross",1981
"162","DAL","David Kennedy","University of Cincinnati",1981
"163","DET","Joe Schoen","Saint Francis University",1981
"164","NJN","Ken Webb","Fairleigh Dickinson University",1981
"165","UTA","Bobby Cattage","Auburn University",1981
"166","CLE","Glen Marcus","University of Alabama at Birmingham",1981
"167","ATL","Gilbert Salinas","University of Notre Dame",1981
"168","SDC","Todd Haynes","Davidson College",1981
"169","DEN","Curtis Redding","St. John's University",1981
"170","WSB","Mike Howard","Wofford College",1981
"171","GSW","Yasutaka Okayama","",1981
"172","HOU","Stanley Brewer","State University of West Georgia",1981
"173","KCK","Randy Smithson","Wichita State University",1981
"174","IND","Len Hatzenbeller","Drexel University",1981
"175","CHI","Ben Mitchell","University of Alabama at Huntsville",1981
"176","POR","John Smith","Saint Joseph's University",1981
"177","NYK","Brian O'Connor","Thomas More College",1981
"178","SAS","Bob Bartholomew","University of San Diego",1981
"179","LAL","Jay Triano","Simon Fraser University",1981
"180","PHO","Steve Risley","Indiana University",1981
"181","MIL","Mike Brkovich","Michigan State University",1981
"182","BOS","George Morrow","Creighton University",1981
"183","PHI","Frank Gilroy","St. John's University",1981
"184","DAL","John Hollinden","University of Southern Indiana",1981
"185","DET","Eddie Baker","Alcorn State University",1981
"186","NJN","Rudy Williams","Providence College",1981
"187","CLE","Paul Roba","Cleveland State University",1981
"188","UTA","Ken Ollie","University of Wyoming",1981
"189","ATL","Howard Thompkins","Wagner College",1981
"190","SDC","Art Jones","North Carolina State University",1981
"191","DEN","Andrew Burton","Austin Peay State University",1981
"192","GSW","Doug Murrey","San Jose State University",1981
"193","WSB","Eddie Brown","Valdosta State University",1981
"194","KCK","Mike Perry","University of Richmond",1981
"195","IND","Scott Whitley","College of William & Mary",1981
"196","POR","Sid Williams","San Jose State University",1981
"197","CHI","Terry Martin","Lambath University",1981
"198","NYK","Marty Headd","Syracuse University",1981
"199","SAS","Leonel Marquetti","Hampton University",1981
"200","PHO","Brian Johnson","University of Colorado",1981
"201","MIL","Chip Rucker","Northeastern University",1981
"202","PHI","Ron Wister","Temple University",1981
"203","BOS","Greg McCray","Virginia Commonwealth University",1981
"204","DAL","Scott Bosanko","Northern State University",1981
"205","DET","Melvin Maxwell","Western Michigan University",1981
"206","NJN","Vic Sison","University of California, Los Angeles",1981
"207","UTA","Joe Merten","University of Wisconsin-Eau Claire",1981
"208","CLE","Greg Boone","Augsburg College",1981
"209","ATL","Mike Frazier","Georgetown University",1981
"210","SDC","Tony Gwynn","San Diego State University",1981
"211","DEN","Derrick Rowland","State University of New York at Potsdam",1981
"212","WSB","Ralton Way","Houston Baptist University",1981
"213","GSW","Barry Brooks","University of Southern California",1981
"214","KCK","Mark Wilson","Fort Hays State University",1981
"215","IND","Rodney Benson","Wright State University",1981
"216","CHI","Kenny Easley","University of California, Los Angeles",1981
"217","POR","Steve Cochran","Lewis and Clark College",1981
"218","NYK","Kevin Rogers","Saint Peter's College",1981
"219","SAS","Alvin Brooks","Lamar University",1981
"220","PHO","Felton Sealey","University of Oregon",1981
"221","MIL","Artie Green","Marquette University",1981
"222","BOS","Ken Matthews","North Carolina State University",1981
"223","PHI","Pete Mullenberg","University of Delaware",1981
"1","LAL","James Worthy","University of North Carolina",1982
"2","SDC","Terry Cummings","DePaul University",1982
"3","UTA","Dominique Wilkins","University of Georgia",1982
"4","DAL","Bill Garnett","University of Wyoming",1982
"5","KCK","LaSalle Thompson","University of Texas at Austin",1982
"6","NYK","Trent Tucker","University of Minnesota",1982
"7","CHI","Quintin Dailey","University of San Francisco",1982
"8","IND","Clark Kellogg","Ohio State University",1982
"9","DET","Cliff Levingston","Wichita State University",1982
"10","ATL","Keith Edmonson","Purdue University",1982
"11","POR","Fat Lever","Arizona State University",1982
"12","CLE","John Bagley","Boston College",1982
"13","NJN","Sleepy Floyd","Georgetown University",1982
"14","GSW","Lester Conner","Oregon State University",1982
"15","PHO","David Thirdkill","Bradley University",1982
"16","HOU","Terry Teagle","Baylor University",1982
"17","KCK","Brook Steppe","Georgia Institute of Technology",1982
"18","DET","Ricky Pierce","Rice University",1982
"19","DEN","Rob Williams","University of Houston",1982
"20","MIL","Paul Pressey","University of Tulsa",1982
"21","NJN","Eddie Phillips","University of Alabama",1982
"22","PHI","Mark McNamara","University of California",1982
"23","BOS","Darren Tillis","Cleveland State University",1982
"24","SAS","Oliver Robinson","University of Alabama at Birmingham",1982
"25","WSB","Bryan Warrick","Saint Joseph's University",1982
"26","CHI","Ricky Frazier","University of Missouri",1982
"27","MIL","Fred Roberts","Brigham Young University",1982
"28","CLE","Dave Magley","University of Kansas",1982
"29","NYK","Scott Hastings","University of Arkansas",1982
"30","CHI","Wallace Bryant","University of San Francisco",1982
"31","CHI","Rod Higgins","California State University, Fresno",1982
"32","SDC","Richard Anderson","University of California, Santa Barbara",1982
"33","POR","Linton Townes","James Madison University",1982
"34","NYK","Vince Taylor","Duke University",1982
"35","GSW","Derek Smith","University of Louisville",1982
"36","PHI","J.J. Anderson","Bradley University",1982
"37","POR","Audie Norris","Jackson State University",1982
"38","GSW","Wayne Sappleton","Loyola University of Chicago",1982
"39","PHO","Kevin Magee","University of California, Irvine",1982
"40","IND","Guy Morgan","Wake Forest University",1982
"41","WSB","Dwight Anderson","University of Southern California",1982
"42","HOU","Jeff Taylor","Texas Tech University",1982
"43","IND","Jose Slaughter","University of Portland",1982
"44","WSB","Mike Gibson","University of South Carolina Upstate",1982
"45","PHI","Russ Schoene","University of Tennessee at Chattanooga",1982
"46","BOS","Tony Guy","University of Kansas",1982
"47","CLE","Michael Wilson","Marquette University",1982
"48","SDC","Craig Hodges","California State University, Long Beach",1982
"49","UTA","Steve Trumbo","Brigham Young University",1982
"50","DAL","Corny Thompson","University of Connecticut",1982
"51","KCK","Jim Johnstone","Wake Forest University",1982
"52","NYK","Dan Caldwell","University of Washington",1982
"53","CHI","Tyrone Adams","Kansas State University",1982
"54","LAL","Willie Jones","Vanderbilt University",1982
"55","UTA","Jerry Eaves","University of Louisville",1982
"56","ATL","Joe Kopicki","University of Detroit Mercy",1982
"57","NYK","Craig Tucker","University of Illinois at Urbana-Champaign",1982
"58","WSB","Mike Largey","Upsala College",1982
"59","NJN","Jimmy Black","University of North Carolina",1982
"60","GSW","Chris Engler","University of Wyoming",1982
"61","PHO","Charles Pittman","University of Maryland",1982
"62","DEN","Roylin Bond","Pepperdine University",1982
"63","HOU","Chuck Nevitt","North Carolina State University",1982
"64","SAS","Willie Redden","University of South Florida",1982
"65","SEA","John Greig","University of Oregon",1982
"66","POR","Phillip Lockett","University of Alabama",1982
"67","LAL","Mike Hackett","Jacksonville University",1982
"68","PHI","Dale Solomon","Virginia Polytechnic Institute and State University",1982
"69","BOS","Perry Moss","Northeastern University",1982
"70","CLE","Reggie Hannah","University of South Alabama",1982
"71","SDC","Darius Clemons","Loyola University of Chicago",1982
"72","UTA","Mark Eaton","University of California, Los Angeles",1982
"73","DAL","Rudy Woods","Texas A&M University",1982
"74","KCK","Mike Sanders","University of California, Los Angeles",1982
"75","NYK","Norm Anchrum","University of Alabama at Birmingham",1982
"76","CHI","Chuck Aleksinas","University of Connecticut",1982
"77","IND","Jeff Jones","University of Virginia",1982
"78","DET","Walker Russell","Western Michigan University",1982
"79","POR","Eric Smith","Georgetown University",1982
"80","NJN","James Griffin","University of Illinois at Urbana-Champaign",1982
"81","WSB","Dino Gregory","California State University, Long Beach",1982
"82","NJN","Tony Brown","University of Arkansas",1982
"83","GSW","Ken Stancell","Virginia Commonwealth University",1982
"84","DEN","Alford Turner","University of Louisiana at Lafayette",1982
"85","HOU","Andre Gaddy","George Mason University",1982
"86","PHO","Rory White","University of South Alabama",1982
"87","SAS","Tony Grier","University of South Florida",1982
"88","SEA","Ken Owens","University of Idaho",1982
"89","MIL","Jerry Beck","Middle Tennessee State University",1982
"90","LAL","Craig McCormick","Western Kentucky University",1982
"91","PHI","Bruce Atkins","Duquesne University",1982
"92","BOS","Greg Stewart","University of Tulsa",1982
"93","CLE","Terry White","University of Texas at El Paso",1982
"94","SDC","Gary Carter","University of Tennessee",1982
"95","UTA","Mike McKay","University of Connecticut",1982
"96","DAL","Ken Arnold","University of Iowa",1982
"97","KCK","Ken Simpson","Grambling State University",1982
"98","NYK","Aaron Howard","Villanova University",1982
"99","CHI","Rubin Jackson","Oklahoma City University",1982
"100","IND","Rich DiBenedetto","University of Wisconsin-Eau Claire",1982
"101","DET","John Ebeling","Florida Southern College",1982
"102","ATL","Mark Hall","University of Minnesota",1982
"103","POR","Cherokee Rhone","Centenary College of Louisiana",1982
"104","WSB","Clarence Dickerson","University of Hawaii",1982
"105","NJN","Chris Giles","University of Alabama at Birmingham",1982
"106","GSW","Albert Irving","Alcorn State University",1982
"107","HOU","Jeff Schneider","Virginia Polytechnic Institute and State University",1982
"108","PHO","Marvin McCrary","University of Missouri",1982
"109","DEN","Bill Duffy","Santa Clara University",1982
"110","SAS","Clarence Swannegan","Texas Tech University",1982
"111","SEA","Rod Camp","Southern Illinois University",1982
"112","WSB","Jerry Davis","University of Detroit Mercy",1982
"113","LAL","Howard McNeill","Seton Hall University",1982
"114","PHI","Donald Mason","California State University, Fresno",1982
"115","BOS","William Brown","Saint Peter's College",1982
"116","CLE","Vince Reynolds","University of South Florida",1982
"117","SDC","Eric Marbury","University of Georgia",1982
"118","UTA","Alvin Jackson","Southern University and A&M College",1982
"119","DAL","Wayne Waggoner","Northwestern State University",1982
"120","KCK","Poncho Wright","University of Louisville",1982
"121","NYK","Mike Kanieski","University of Dayton",1982
"122","CHI","B. B. Fontenet","University of Nevada, Reno",1982
"123","IND","Jeff Clark","Saint Joseph's University",1982
